

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:47:40 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  7.871047928605196E+07, -7.780618927194223E+08,  1.470622435283840E+06,  2.608585988409639E+03,  7.820344053696853E+08, -6.308263577252557E-01,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  7.982100442998528E+07, -7.778940051274471E+08,  1.445076443675637E+06,  2.608404178500124E+03,  7.819799001300228E+08, -6.313209338200118E-01,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  8.093130059969951E+07, -7.777245883245965E+08,  1.419523334566295E+06,  2.608222587376356E+03,  7.819254604806775E+08, -6.288589386091926E-01,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  8.204158988056159E+07, -7.775535738455575E+08,  1.393969272011161E+06,  2.608041065802001E+03,  7.818710416817216E+08, -6.306428655861718E-01,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  8.315169431944475E+07, -7.773809534655222E+08,  1.368411703211248E+06,  2.607859526764618E+03,  7.818166176474816E+08, -6.298928612782119E-01,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  8.426169203187168E+07, -7.772066319279418E+08,  1.342855145892382E+06,  2.607677683404180E+03,  7.817621023794848E+08, -6.310073696539085E-01,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  8.537153540010279E+07, -7.770307176697054E+08,  1.317295555375040E+06,  2.607495880109414E+03,  7.817075991228745E+08, -6.319846019806519E-01,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  8.648114323119506E+07, -7.768530309074463E+08,  1.291738492125511E+06,  2.607313492339708E+03,  7.816529206450855E+08, -6.323928810633599E-01,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000,  8.759051328249572E+07, -7.766737915544721E+08,  1.266175444211841E+06,  2.607131248703511E+03,  7.815982853774350E+08, -6.329875082510693E-01,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000,  8.869960457463387E+07, -7.764929893135527E+08,  1.240606317881525E+06,  2.606949099778655E+03,  7.815436785035301E+08, -6.306805279559708E-01,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000,  8.980864039079458E+07, -7.763106183272117E+08,  1.215035098239303E+06,  2.606767111449496E+03,  7.814891197750043E+08, -6.324002940999451E-01,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000,  9.091744321558213E+07, -7.761266352146940E+08,  1.189460627541184E+06,  2.606585074008298E+03,  7.814345463230594E+08, -6.312894971376994E-01,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000,  9.202611602953486E+07, -7.759409828108181E+08,  1.163886368156672E+06,  2.606402839053824E+03,  7.813799136581242E+08, -6.324908329905473E-01,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000,  9.313458761100709E+07, -7.757537621904643E+08,  1.138308193718791E+06,  2.606220715074427E+03,  7.813253142626799E+08, -6.326644520844574E-01,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000,  9.424283444924724E+07, -7.755647917057304E+08,  1.112732679863930E+06,  2.606038092082315E+03,  7.812705652669876E+08, -6.333085271000589E-01,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000,  9.535081467221726E+07, -7.753742922062242E+08,  1.087150702711344E+06,  2.605855685093730E+03,  7.812158810275229E+08, -6.333846085195113E-01,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000,  9.645851298662496E+07, -7.751822341407862E+08,  1.061563131131589E+06,  2.605673389990498E+03,  7.811612303304441E+08, -6.309813244351543E-01,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000,  9.756615214837143E+07, -7.749886549527518E+08,  1.035972336973071E+06,  2.605491423372437E+03,  7.811066781107414E+08, -6.323233660343910E-01,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,  9.867357075340395E+07, -7.747934559496499E+08,  1.010379425550103E+06,  2.605309393666073E+03,  7.810521069776412E+08, -6.310144118506902E-01,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000,  9.978088365487695E+07, -7.745966020462806E+08,  9.847871112272739E+05,  2.605127234665840E+03,  7.809974970832151E+08, -6.325077965051800E-01,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000,  1.008879899939422E+08, -7.743981611427099E+08,  9.591919519420862E+05,  2.604945130134645E+03,  7.809429035181950E+08, -6.323808188524729E-01,
