

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:45:47 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -8.490243784085938E+07,  1.203416643025490E+08, -5.025041589878500E+03,  4.912634802903448E+02,  1.472770862818770E+08,  1.865622946053264E-01,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -8.703486781332257E+07,  1.188288574709998E+08, -4.882593435034156E+03,  4.913181225918303E+02,  1.472934676317502E+08,  1.926531529892433E-01,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -8.914012089986241E+07,  1.172790990118835E+08, -4.754809318922460E+03,  4.913745382851949E+02,  1.473103806311337E+08,  1.988784587374111E-01,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -9.121753696661247E+07,  1.156929259875928E+08, -4.643814584925771E+03,  4.914327737124696E+02,  1.473278391730190E+08,  2.052889573342093E-01,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000, -9.326647409373462E+07,  1.140708883233164E+08, -4.550944141663611E+03,  4.914928882787430E+02,  1.473458610666037E+08,  2.119250374017582E-01,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000, -9.528630844051655E+07,  1.124135473125231E+08, -4.476759094476700E+03,  4.915549519139911E+02,  1.473644672763672E+08,  2.188199082162482E-01,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000, -9.727643414575638E+07,  1.107214744130011E+08, -4.421064030185342E+03,  4.916190434768424E+02,  1.473836814435314E+08,  2.260028167868937E-01,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000, -9.923626339949141E+07,  1.089952501834790E+08, -4.382910771243274E+03,  4.916852499896092E+02,  1.474035296567294E+08,  2.335014598601158E-01,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000, -1.011652267388938E+08,  1.072354631532547E+08, -4.360581306114793E+03,  4.917536663514458E+02,  1.474240403660119E+08,  2.413427473961660E-01,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000, -1.030627735130053E+08,  1.054427083862390E+08, -4.351552046969533E+03,  4.918243949292915E+02,  1.474452442602150E+08,  2.495510429687433E-01,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000, -1.049283723232431E+08,  1.036175855089188E+08, -4.352454095400870E+03,  4.918975441754185E+02,  1.474671738525123E+08,  2.581430447139879E-01,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000, -1.067615110822159E+08,  1.017606960507240E+08, -4.359059904150665E+03,  4.919732252216358E+02,  1.474898624593818E+08,  2.671188522761887E-01,
