

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:47:46 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  5.680597453102431E+08, -1.389479460523918E+09,  1.545819892540634E+06,  5.007181991781479E+03,  1.501115396969505E+09, -1.748830799005616E-01,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  5.687872092466097E+08, -1.389165517293800E+09,  1.511368328593731E+06,  5.007131519732923E+03,  1.501100265830008E+09, -1.753404210830701E-01,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  5.695144640937251E+08, -1.388851173746705E+09,  1.476925189365983E+06,  5.007080944741731E+03,  1.501085103829086E+09, -1.756205854793656E-01,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  5.702415157912872E+08, -1.388536441276486E+09,  1.442495762931764E+06,  5.007030309328181E+03,  1.501069923713995E+09, -1.757207101990145E-01,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  5.709683795287070E+08, -1.388221332026021E+09,  1.408084716538191E+06,  5.006979670065261E+03,  1.501054742444894E+09, -1.757085784257473E-01,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  5.716950647550185E+08, -1.387905846248432E+09,  1.373691135993540E+06,  5.006929039611608E+03,  1.501039563816743E+09, -1.756110726080462E-01,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  5.724215856384544E+08, -1.387589993616346E+09,  1.339318531045616E+06,  5.006878465750025E+03,  1.501024402154469E+09, -1.753491990162196E-01,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  5.731479658526201E+08, -1.387273769773131E+09,  1.304962339815319E+06,  5.006827965162427E+03,  1.501009262459183E+09, -1.751156609180643E-01,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000,  5.738742207812486E+08, -1.386957158807998E+09,  1.270612719925880E+06,  5.006777508499420E+03,  1.500994135932157E+09, -1.750718244944927E-01,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000,  5.746003507872308E+08, -1.386640144269518E+09,  1.236261113444865E+06,  5.006727045715426E+03,  1.500979007570106E+09, -1.751472019535619E-01,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000,  5.753263558649815E+08, -1.386322709373525E+09,  1.201898756943285E+06,  5.006676525318526E+03,  1.500963861936140E+09, -1.754834950866963E-01,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000,  5.760522209292885E+08, -1.386004841810667E+09,  1.167520783234537E+06,  5.006625890354568E+03,  1.500948681955834E+09, -1.759066946951926E-01,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000,  5.767779398449861E+08, -1.385686535054395E+09,  1.133124450354815E+06,  5.006575113093302E+03,  1.500933459315869E+09, -1.765113264214204E-01,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000,  5.775034949523007E+08, -1.385367778160480E+09,  1.098705772788644E+06,  5.006524137388918E+03,  1.500918177184153E+09, -1.772601937565500E-01,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000,  5.782288634518350E+08, -1.385048571936561E+09,  1.064267335254014E+06,  5.006472936598072E+03,  1.500902827573214E+09, -1.780278951207806E-01,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000,  5.789540314143521E+08, -1.384728930368228E+09,  1.029817704721689E+06,  5.006421535909581E+03,  1.500887418034469E+09, -1.786725228005138E-01,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000,  5.796789932052222E+08, -1.384408861195204E+09,  9.953614033433795E+05,  5.006369951842489E+03,  1.500871953520202E+09, -1.792763330995716E-01,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000,  5.804037430978251E+08, -1.384088379637718E+09,  9.609068029592633E+05,  5.006318223758819E+03,  1.500856445830851E+09, -1.796888181078232E-01,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,  5.811282843855908E+08, -1.383767494012908E+09,  9.264577982674837E+05,  5.006266381351552E+03,  1.500840903868147E+09, -1.800481448424239E-01,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000,  5.818526154051360E+08, -1.383446218729167E+09,  8.920218378710151E+05,  5.006214466638668E+03,  1.500825340228765E+09, -1.801887035420402E-01,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000,  5.825767480150098E+08, -1.383124570485672E+09,  8.576063956627846E+05,  5.006162546137539E+03,  1.500809774854111E+09, -1.800854108691621E-01,
