

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:48:09 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  2.427299831783689E+09,  1.702279661193254E+09, -2.511573638659978E+07,  9.889582706188328E+03,  2.964822308082490E+09, -2.126747227565637E-01,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  2.426958685386912E+09,  1.702734090542348E+09, -2.510964720437205E+07,  9.889521400527541E+03,  2.964803929107754E+09, -2.127787668092003E-01,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  2.426617443037338E+09,  1.703188457258921E+09, -2.510355764366126E+07,  9.889460075808865E+03,  2.964785544419606E+09, -2.127760630341205E-01,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  2.426276110625719E+09,  1.703642758622411E+09, -2.509747765698385E+07,  9.889398743193296E+03,  2.964767157364029E+09, -2.129027829763001E-01,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  2.425934665026568E+09,  1.704097000726309E+09, -2.509139958904028E+07,  9.889337351031674E+03,  2.964748752456995E+09, -2.130763585858588E-01,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  2.425593129737072E+09,  1.704551181719288E+09, -2.508529974051666E+07,  9.889275959268154E+03,  2.964730347669308E+09, -2.129592297851217E-01,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  2.425251513688105E+09,  1.705005295994048E+09, -2.507920428345621E+07,  9.889214582264323E+03,  2.964711947306465E+09, -2.130088068147102E-01,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  2.424909802388208E+09,  1.705459347171859E+09, -2.507310958459699E+07,  9.889153187320075E+03,  2.964693541565219E+09, -2.130161516936985E-01,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000,  2.424568003507730E+09,  1.705913332983766E+09, -2.506701989150763E+07,  9.889091791137389E+03,  2.964675135452700E+09, -2.130947352770700E-01,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000,  2.424226100621672E+09,  1.706367257300920E+09, -2.506093322199845E+07,  9.889030356292769E+03,  2.964656717749625E+09, -2.132070036302014E-01,
2458859.500000000, A.D. 2020-Jan-11 00:00:00.0000,  2.423884108787886E+09,  1.706821118500810E+09, -2.505483722456920E+07,  9.888968920413163E+03,  2.964638299736268E+09, -2.131468897052122E-01,
2458860.500000000, A.D. 2020-Jan-12 00:00:00.0000,  2.423542022336786E+09,  1.707274914658671E+09, -2.504875473009515E+07,  9.888907464990723E+03,  2.964619875864118E+09, -2.133631821607031E-01,
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000,  2.423199823562643E+09,  1.707728652956544E+09, -2.504266191571259E+07,  9.888845954888900E+03,  2.964601435599501E+09, -2.134409736047524E-01,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000,  2.422857538845479E+09,  1.708182328713310E+09, -2.503655061086416E+07,  9.888784452835676E+03,  2.964582997747792E+09, -2.133834253488488E-01,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000,  2.422515167151227E+09,  1.708635940457076E+09, -2.503043280044782E+07,  9.888722953524317E+03,  2.964564560718075E+09, -2.133647932716164E-01,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000,  2.422172720132425E+09,  1.709089485772449E+09, -2.502430743219161E+07,  9.888661484040540E+03,  2.964546132630441E+09, -2.132313155675431E-01,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000,  2.421830189801092E+09,  1.709542963048824E+09, -2.501819848294127E+07,  9.888600020180002E+03,  2.964527706228612E+09, -2.133434906962698E-01,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000,  2.421487559949953E+09,  1.709996378076442E+09, -2.501208929741168E+07,  9.888538528447812E+03,  2.964509271471073E+09, -2.133294353945374E-01,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,  2.421144851304126E+09,  1.710449725564028E+09, -2.500598529999781E+07,  9.888477055293137E+03,  2.964490842282931E+09, -2.133262880232426E-01,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000,  2.420802040166269E+09,  1.710903008538762E+09, -2.499990217124915E+07,  9.888415542423587E+03,  2.964472401188570E+09, -2.135539975151335E-01,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000,  2.420459120386660E+09,  1.711356231532209E+09, -2.499381659514689E+07,  9.888353981179369E+03,  2.964453945591849E+09, -2.136492327302225E-01,
