jdtdb,calendar,x,y,z,lt,rg,rr
2459765.500000000,A.D. 2022-Jul-05 00:00:00.0000,4.443598061369073E+09,-5.250192915937620E+08,-9.159924001010436E+07,1.492847443793159E+04,4.475444045937679E+09,-3.674698617431035E-02
2459766.500000000,A.D. 2022-Jul-06 00:00:00.0000,4.443650203031209E+09,-5.245488066374825E+08,-9.161013139595461E+07,1.492846384889602E+04,4.475440871424680E+09,-3.673788657926385E-02
2459767.500000000,A.D. 2022-Jul-07 00:00:00.0000,4.443702296382265E+09,-5.240783093281505E+08,-9.162101831098145E+07,1.492845326181301E+04,4.475437697497041E+09,-3.673343415760261E-02
2459768.500000000,A.D. 2022-Jul-08 00:00:00.0000,4.443754341007728E+09,-5.236077997817163E+08,-9.163190050254533E+07,1.492844267534494E+04,4.475434523753754E+09,-3.673361732211418E-02
2459769.500000000,A.D. 2022-Jul-09 00:00:00.0000,4.443806336494196E+09,-5.231372781134135E+08,-9.164277771804658E+07,1.492843208815734E+04,4.475431349794762E+09,-3.673842574919765E-02
2459770.500000000,A.D. 2022-Jul-10 00:00:00.0000,4.443858282429268E+09,-5.226667444375575E+08,-9.165364970490018E+07,1.492842149891850E+04,4.475428175220822E+09,-3.674785096008677E-02
2459771.500000000,A.D. 2022-Jul-11 00:00:00.0000,4.443910178401378E+09,-5.221961988673703E+08,-9.166451621050641E+07,1.492841090629882E+04,4.475424999633331E+09,-3.676188681840981E-02
2459772.500000000,A.D. 2022-Jul-12 00:00:00.0000,4.443962023999595E+09,-5.217256415148466E+08,-9.167537698222113E+07,1.492840030897007E+04,4.475421822634095E+09,-3.678052988356782E-02
2459773.500000000,A.D. 2022-Jul-13 00:00:00.0000,4.444013818813387E+09,-5.212550724906736E+08,-9.168623176732838E+07,1.492838970560460E+04,4.475418643825100E+09,-3.680377957308639E-02
2459774.500000000,A.D. 2022-Jul-14 00:00:00.0000,4.444065562432372E+09,-5.207844919042104E+08,-9.169708031301653E+07,1.492837909487454E+04,4.475415462808253E+09,-3.683163810993072E-02
2459775.500000000,A.D. 2022-Jul-15 00:00:00.0000,4.444117254446084E+09,-5.203138998635300E+08,-9.170792236635974E+07,1.492836847545099E+04,4.475412279185165E+09,-3.686411026277914E-02
2459776.500000000,A.D. 2022-Jul-16 00:00:00.0000,4.444168894443752E+09,-5.198432964755130E+08,-9.171875767430651E+07,1.492835784600335E+04,4.475409092556931E+09,-3.690120292841387E-02
2459777.500000000,A.D. 2022-Jul-17 00:00:00.0000,4.444220482014128E+09,-5.193726818459833E+08,-9.172958598367447E+07,1.492834720519882E+04,4.475405902523984E+09,-3.694292461066768E-02
2459778.500000000,A.D. 2022-Jul-18 00:00:00.0000,4.444272016745341E+09,-5.189020560798754E+08,-9.174040704115173E+07,1.492833655170194E+04,4.475402708685968E+09,-3.698928484666258E-02
2459779.500000000,A.D. 2022-Jul-19 00:00:00.0000,4.444323498224820E+09,-5.184314192814127E+08,-9.175122059330410E+07,1.492832588417445E+04,4.475399510641682E+09,-3.704029365859260E-02
2459780.500000000,A.D. 2022-Jul-20 00:00:00.0000,4.444374926039249E+09,-5.179607715542860E+08,-9.176202638658604E+07,1.492831520127519E+04,4.475396307989055E+09,-3.709596107205635E-02
2459781.500000000,A.D. 2022-Jul-21 00:00:00.0000,4.444426300678910E+09,-5.174901190215358E+08,-9.177283040120819E+07,1.492830450740408E+04,4.475393102047149E+09,-3.711496372729309E-02
2459782.500000000,A.D. 2022-Jul-22 00:00:00.0000,4.444477623175329E+09,-5.170194675377578E+08,-9.178363881395847E+07,1.492829380865564E+04,4.475389894643056E+09,-3.712980898990690E-02
2459783.500000000,A.D. 2022-Jul-23 00:00:00.0000,4.444528893925993E+09,-5.165488168036302E+08,-9.179445166603437E+07,1.492828310622719E+04,4.475386686135725E+09,-3.714050249286013E-02
2459784.500000000,A.D. 2022-Jul-24 00:00:00.0000,4.444580113327793E+09,-5.160781665198420E+08,-9.180526899858111E+07,1.492827240131458E+04,4.475383476883660E+09,-3.714704890280564E-02
2459785.500000000,A.D. 2022-Jul-25 00:00:00.0000,4.444631281777100E+09,-5.156075163871701E+08,-9.181609085270530E+07,1.492826169511244E+04,4.475380267245004E+09,-3.714945189351437E-02
